"","X","Gene.Name","D0.vs..D25.Log2.Fold.Change","D0.vs..D25.p.value","pval","log2fc","labels","sig"
"3100",19569,"AGPAT3",0.668054603,0.170632908,0.170632908,0.668054603,"AGPAT3","Not Sig"
"3101",46214,"CSKMT",0.667525612,0.165462518,0.165462518,0.667525612,"CSKMT","Not Sig"
"3102",14377,"LOC644634",0.667510482,0.242472807,0.242472807,0.667510482,"LOC644634","Not Sig"
"3103",52274,"CYP4F8",0.667510482,0.242472807,0.242472807,0.667510482,"CYP4F8","Not Sig"
"3104",11442,"HSD11B1L",0.667399675,0.159946448,0.159946448,0.667399675,"HSD11B1L","Not Sig"
"3105",15912,"KCNH3",0.667351558,0.16424911,0.16424911,0.667351558,"KCNH3","Not Sig"
"3106",28787,"TAF1L",0.667191198,0.238624817,0.238624817,0.667191198,"TAF1L","Not Sig"
"3107",31489,"LOC101927793",0.667097137,0.183663603,0.183663603,0.667097137,"LOC101927793","Not Sig"
"3108",10530,"ILDR2",0.666966546,0.168392826,0.168392826,0.666966546,"ILDR2","Not Sig"
"3109",45083,"LOC101928807",0.666944675,0.235468154,0.235468154,0.666944675,"LOC101928807","Not Sig"
"3110",56343,"KRTAP20-3",0.666944675,0.235468154,0.235468154,0.666944675,"KRTAP20-3","Not Sig"
"3111",14352,"TENT4A",0.666893639,0.1548256,0.1548256,0.666893639,"TENT4A","Not Sig"
"3112",73115,"SMCP",0.666748585,0.232834631,0.232834631,0.666748585,"SMCP","Not Sig"
"3113",66616,"MIR6846",0.666589477,0.17318204,0.17318204,0.666589477,"MIR6846","Not Sig"
"3114",2275,"TCEAL7",0.66652493,0.163820526,0.163820526,0.66652493,"TCEAL7","Not Sig"
"3115",31105,"JCAD",0.666247492,0.170614003,0.170614003,0.666247492,"JCAD","Not Sig"
"3116",26012,"PITPNM1",0.666226939,0.161593298,0.161593298,0.666226939,"PITPNM1","Not Sig"
"3117",25808,"VWCE",0.666184181,0.165405827,0.165405827,0.666184181,"VWCE","Not Sig"
