"","X","Gene.Name","D0.vs..D45.Log2.Fold.Change","D0.vs..D45.p.value","pval","log2fc","labels","sig"
"2210",4982,"CLCNKB",-1.980177726,8.39e-05,8.39e-05,-1.980177726,"CLCNKB","Down"
"2211",4984,"MAP7",1.996374356,8.4e-05,8.4e-05,1.996374356,"MAP7","Up"
"2212",4985,"ZNF91",1.948570683,8.41e-05,8.41e-05,1.948570683,"ZNF91","Up"
"2213",4987,"THY1",-1.998072574,8.42e-05,8.42e-05,-1.998072574,"THY1","Down"
"2214",4988,"LINC01988",-2.174932754,8.43e-05,8.43e-05,-2.174932754,"LINC01988","Down"
"2215",4989,"TPGS2",1.884262851,8.44e-05,8.44e-05,1.884262851,"TPGS2","Up"
"2216",4996,"KAZN",-2.028801675,8.48e-05,8.48e-05,-2.028801675,"KAZN","Down"
"2217",4997,"DOK2",-2.042638269,8.49e-05,8.49e-05,-2.042638269,"DOK2","Down"
"2218",5000,"NKAIN3",1.885692945,8.51e-05,8.51e-05,1.885692945,"NKAIN3","Up"
"2219",5002,"PRM2",-2.326236936,8.51e-05,8.51e-05,-2.326236936,"PRM2","Down"
"2220",5006,"RSAD2",-2.326236936,8.51e-05,8.51e-05,-2.326236936,"RSAD2","Down"
"2221",5009,"LINC00314",2.539108664,8.51e-05,8.51e-05,2.539108664,"LINC00314","Up"
"2222",5010,"LPO",-2.326236936,8.51e-05,8.51e-05,-2.326236936,"LPO","Down"
"2223",5012,"LDLRAD2",-2.326236936,8.51e-05,8.51e-05,-2.326236936,"LDLRAD2","Down"
"2224",5013,"NT5DC1",1.874055228,8.55e-05,8.55e-05,1.874055228,"NT5DC1","Up"
"2225",5014,"LINC01481",1.888366995,8.56e-05,8.56e-05,1.888366995,"LINC01481","Up"
"2226",5017,"USP46-AS1",1.898169957,8.57e-05,8.57e-05,1.898169957,"USP46-AS1","Up"
"2227",5018,"ARMCX5-GPRASP2",1.952427733,8.58e-05,8.58e-05,1.952427733,"ARMCX5-GPRASP2","Up"
"2228",5019,"KIAA1328",1.882370383,8.61e-05,8.61e-05,1.882370383,"KIAA1328","Up"
"2229",5028,"BCYRN1",-2.016156663,8.62e-05,8.62e-05,-2.016156663,"BCYRN1","Down"
"2230",5034,"HHIPL1",-2.044443752,8.66e-05,8.66e-05,-2.044443752,"HHIPL1","Down"
"2231",5035,"NAV2-AS2",-2.044443752,8.66e-05,8.66e-05,-2.044443752,"NAV2-AS2","Down"
"2232",5046,"PRDM10",-2.165462658,8.71e-05,8.71e-05,-2.165462658,"PRDM10","Down"
"2233",5049,"MORC2-AS1",-2.165462658,8.71e-05,8.71e-05,-2.165462658,"MORC2-AS1","Down"
"2234",5050,"MIR6840",-2.165462658,8.71e-05,8.71e-05,-2.165462658,"MIR6840","Down"
"2235",5051,"THOC7-AS1",-2.165462658,8.71e-05,8.71e-05,-2.165462658,"THOC7-AS1","Down"
"2236",5053,"QRFP",-2.079470106,8.72e-05,8.72e-05,-2.079470106,"QRFP","Down"
"2237",5054,"DNAJC1",1.882799661,8.72e-05,8.72e-05,1.882799661,"DNAJC1","Up"
"2238",5055,"MT1A",-2.102267076,8.73e-05,8.73e-05,-2.102267076,"MT1A","Down"
"2239",5056,"PSORS1C1",-2.104299825,8.73e-05,8.73e-05,-2.104299825,"PSORS1C1","Down"
"2240",5057,"TAC3",-2.103212703,8.73e-05,8.73e-05,-2.103212703,"TAC3","Down"
"2241",5059,"MIR6797",-2.103212703,8.73e-05,8.73e-05,-2.103212703,"MIR6797","Down"
"2242",5064,"DHDH",-2.02915788,8.77e-05,8.77e-05,-2.02915788,"DHDH","Down"
"2243",5065,"DSEL",1.866395143,8.78e-05,8.78e-05,1.866395143,"DSEL","Up"
"2244",5066,"ARHGAP24",1.897111367,8.78e-05,8.78e-05,1.897111367,"ARHGAP24","Up"
"2245",5068,"ODF3L2",-2.357187881,8.79e-05,8.79e-05,-2.357187881,"ODF3L2","Down"
"2246",5069,"OAS2",-2.357187881,8.79e-05,8.79e-05,-2.357187881,"OAS2","Down"
"2247",5072,"DIAPH3",1.869718514,8.8e-05,8.8e-05,1.869718514,"DIAPH3","Up"
