,Gene Name,D0 vs. D25 Log2 Fold Change,D0 vs. D25 p-value
29011,OR4C6,1.432513512,0.013473663
10847,FGF9,1.432490314,0.003037845
15424,ZNF736,1.431214095,0.011026858
36548,ZNF682,1.429752181,0.003379105
44210,ZNF84-DT,1.427113467,0.003745553
18956,GOLGA6L2,1.42700162,0.014582606
7218,OR5D16,1.426718981,0.012879975
49581,ZXDB,1.425017103,0.005166842
1099,WASHC2C,1.420935465,0.013159755
42063,HERC2P2,1.417865783,0.027781725
38984,ZNF117,1.413217984,0.014582606
12963,TRO,1.410643866,0.00431424
49686,ZNF470,1.409524565,0.004287217
1088,CYFIP1,1.409240206,0.004107061
30261,CHCHD2,1.409087082,0.003678484
1699,LINC00508,1.40869984,0.014727912
21753,OR4S1,1.407736111,0.007260047
41118,FAM74A3,1.405728778,0.118589235
3809,DGCR5,1.405645316,0.004680658
61699,CYP4F24P,1.401664608,0.014140597
9038,LCE1D,1.400876221,0.012882876
17105,GGTLC1,1.399923678,0.025186271
37326,ETFB,1.399607447,0.005650885
21600,PDCD5,1.39939033,0.004467901
30311,UBQLN2,1.398295947,0.004391757
74429,OR11H6,1.390517266,0.019457673
10429,MRPS5,1.390514275,0.004439191
1771,TUBB8P12,1.39025107,0.042821341
13542,LOC100131107,1.388972346,0.01552638
58051,LCE2B,1.388972346,0.01552638
5885,LOC100996643,1.387937091,0.285090177
13208,SSX4B,1.387937091,0.285090177
13533,H2AFB1,1.387937091,0.285090177
59021,LOC102724904,1.387937091,0.285090177
39336,PSG11,1.387821267,0.032243737
17195,LINC01518,1.387164635,0.009183971
8403,ZNF773,1.386472155,0.006795074
72821,MIR208B,1.385093991,0.009761297
17516,DENND5B,1.384950228,0.003958294
18852,TEKT4P2,1.38303632,0.133013218
24065,MIR4436A,1.382776806,0.010437349
10312,OR4C46,1.381190589,0.042430009
18716,RIMBP2,1.380934766,0.00565157
55822,MIR513C,1.380857289,0.028548993
25569,TMEM248,1.378655296,0.00592536
27781,TMEM132D,1.377761105,0.009355954
7332,ZNF573,1.377079829,0.006608301
31249,LOC650226,1.37659866,0.016889324
24100,AP1M1,1.376156244,0.005223249
11581,METTL17,1.374987201,0.004936866
29418,PWRN4,1.374789449,0.028941329
28592,CPLX1,1.374662049,0.004632143
42243,ZNF219,1.37444709,0.00433999
10976,OR4X2,1.37171301,0.011237881
33102,SNORD7,1.371058868,0.019755088
72269,OR4K14,1.371058868,0.019755088
7649,LINC02167,1.368167247,0.012197903
46386,LOC112267881,1.367603399,0.081817614
75105,PKD1P3-NPIPA1,1.367603399,0.081817614
32854,MIR99B,1.366412642,0.005067276
15404,ANKRD36B,1.364105731,0.013366038
43477,OR8K5,1.360512552,0.023967629
22358,FGD1,1.359346569,0.005758743
5501,ZNF90,1.359204844,0.006308899
34817,AMER2,1.358344285,0.006137872
41403,MPHOSPH8,1.358273569,0.005163697
15231,ANKRD26P3,1.35675835,0.017863534
32663,LINC00421,1.35675835,0.017863534
47740,DPY19L1P1,1.356426214,0.092600442
55342,RFPL4AL1,1.356426214,0.092600442
5500,NIPA2,1.356390601,0.005194554
41132,LINC01297,1.355804138,0.290399615
59421,TMEM253,1.354502213,0.004909737
13767,ZMYM5,1.351285679,0.004769488
17029,LINC02449,1.350211515,0.018724316
268,C18orf15,1.349606301,0.008393408
23982,MIR132,1.349381435,0.00526252
16541,C10orf25,1.348526457,0.006200861
57242,ZNF22,1.348526457,0.006200861
30848,MIR1470,1.347731395,0.005718748
58001,DENND5B-AS1,1.347282452,0.00492443
7766,MAPK8IP2,1.346691366,0.006846402
14721,ZNF614,1.346258135,0.008143188
22794,FAM210A,1.345396404,0.005196418
54599,IVL,1.34480238,0.017863534
5696,ZNF92,1.34479427,0.005488217
18949,TLE5,1.34407587,0.006314889
57977,BEX1,1.343817219,0.0058998
14376,LOC441601,1.342543756,0.01596975
6547,LCE1C,1.342428336,0.01995349
9476,TRIM51,1.34131908,0.07036814
35284,TBC1D28,1.34131908,0.07036814
16155,RNMT,1.340638269,0.005229296
30060,GUSBP10,1.338216782,0.019033266
29640,OR4K3,1.338138784,0.009893622
9657,SNORD115-27,1.337395831,0.013731977
1240,OR2T3,1.335975396,0.050118841
60440,TPSB2,1.335975396,0.050118841
11258,LINC00993,1.334805425,0.021045154
30131,C16orf58,1.333602317,0.006403291
73733,FAM21EP,1.333114376,0.012818419
14828,PABPC1L2A,1.328931671,0.133013218
31457,ARMC5,1.327887195,0.005340766
70334,ZNF579,1.327638842,0.007173871
17388,PGM5P4,1.327630578,0.024197922
22021,ZNF428,1.326037645,0.006436071
4969,ZNF546,1.325889106,0.010164033
43283,ZNF37BP,1.325882426,0.006090156
10337,RNF223,1.323402843,0.007646347
19108,BTBD2,1.322785437,0.007025947
8131,LOC100128885,1.322113163,0.023013367
30026,LOC105371998,1.31955365,0.012248608
4933,PARP2,1.31926615,0.005759842
11991,ZNF519,1.318859172,0.008051325
66127,RPPH1,1.318055499,0.005822876
39825,MIR891B,1.317720379,0.032622045
25666,WASHC2A,1.317099216,0.013644574
29587,ERV3-1,1.316979227,0.008258216
26457,LSP1P5,1.316629145,0.009188894
40730,TCERG1L,1.31626029,0.014021143
26432,SLC29A4,1.315268462,0.008666035
21571,LCE2A,1.313624887,0.018449961
66982,LOC102725072,1.313332293,0.074359285
25702,POLE,1.310520712,0.006752307
4007,PSG4,1.310403903,0.07036814
11516,ATP6V1E1,1.31036736,0.008332732
33651,CELSR1,1.309314631,0.007185937
72335,CNTNAP3P2,1.308328227,0.021269522
24657,OR4A47,1.308052129,0.058649298
58350,DDC-AS1,1.307458378,0.010108524
43570,NCOR1P1,1.306121924,0.056686395
2122,GPR162,1.305533226,0.007008728
3092,ZNF738,1.305470106,0.008595802
901,MIRLET7E,1.305349946,0.007774361
54838,RNF103-CHMP3,1.304871282,0.013420147
261,MAPK11,1.30444407,0.007274509
34119,PXMP2,1.302930213,0.007184167
63458,MIR212,1.301561993,0.007042984
48528,MIR125B2,1.29833109,0.009964083
37410,PGM5P4-AS1,1.297934678,0.026783511
61865,MIR510,1.296855286,0.024811908
69042,LOC100421746,1.296855286,0.024811908
8866,ERV3-1-ZNF117,1.296063241,0.009103051
34825,LCE1A,1.295571309,0.025633075
51980,OR9A2,1.295211366,0.02188733
52906,ZNF720,1.294859066,0.007268251
7995,OR5D14,1.294571005,0.020776662
58685,LINC01264,1.293948061,0.010534686
54432,ANKRD36,1.29146996,0.013577294
46953,ZNF714,1.288864233,0.009305803
35431,NTN1,1.285934758,0.00839611
10265,LOC284798,1.285766112,0.009552037
25242,OR4X1,1.284194357,0.018645959
41237,ZNF787,1.284118961,0.006987256
44951,MIR4328,1.28242499,0.032683766
18541,MIR126,1.279624061,0.009629165
55268,CYP4Z1,1.278811718,0.082868534
38888,PTGER4P2-CDK2AP2P2,1.277855583,0.089004801
27020,ZNF865,1.276840784,0.011082049
51375,LOC401357,1.276628501,0.111802836
7791,MAPK12,1.276024252,0.009064924
3759,USP32P1,1.274996287,0.124902343
10606,PRAMEF1,1.274996287,0.124902343
42351,MIR3186,1.273480391,0.011908648
45360,TMEM132D-AS2,1.272711851,0.022076638
48389,OR2M4,1.272158742,0.023750564
23919,FAM135B,1.271766808,0.015050185
47443,LINC01566,1.271559458,0.027867035
922,LINC02418,1.269418458,0.029940798
15309,WASH3P,1.269318345,0.198653635
34788,DKFZp434L192,1.268965589,0.016986318
14773,CELF3,1.268394849,0.008644711
6205,PPDPFL,1.267614659,0.032816076
60582,LINC01432,1.267614659,0.032816076
20830,LY6G6F-LY6G6D,1.266828996,0.020852655
43957,SPANXN3,1.26538536,0.036504064
68368,OR4N5,1.26538536,0.036504064
953,MIR1184-1,1.263693926,0.290399615
4947,NBPF11,1.263693926,0.290399615
40343,OR5T2,1.260492809,0.025773304
51770,CRNN,1.260492809,0.025773304
47995,LINC00293,1.259401983,0.030296196
39692,ZNF444,1.257928957,0.00806437
12867,ZNF667,1.257060773,0.020533533
36111,LOC441666,1.257060773,0.020533533
29003,CLIP3,1.25612691,0.012475273
26559,LOC641746,1.253939917,0.0361965
12010,OR2A7,1.252602494,0.398498691
39076,SPATA31C1,1.252602494,0.398498691
55725,KRT16P3,1.252602494,0.398498691
5392,ZNF843,1.252017552,0.010750369
52703,GPR173,1.251764442,0.010219143
26499,PSPC1,1.250852456,0.011313225
19633,GABRG3,1.250455967,0.011850595
7522,APEX1,1.250238156,0.009315766
4921,LOC105371703,1.250198836,0.023914784
22101,SAMD11,1.248244187,0.010479257
50600,OR5W2,1.247141186,0.030296196
323,SETD1A,1.246918779,0.009553453
