,Gene Name,D0 vs. D45 Log2 Fold Change,D0 vs. D45 p-value
1212,GOT1L1,-2.589601658,1.05e-06
1213,BEX1,2.431020368,1.05e-06
1215,CCDC7,2.409468439,1.06e-06
1220,TPST2,-2.712918331,1.06e-06
1221,GPM6A,2.420021939,1.06e-06
1222,LOC100129540,-2.638124965,1.07e-06
1223,OPCML,-2.525797339,1.07e-06
1225,TMEM117,2.39481679,1.07e-06
1228,SSPN,2.410605293,1.07e-06
1229,LOC101929431,2.408240706,1.08e-06
1230,CPM,2.410501908,1.08e-06
1232,NIPSNAP2,2.406277843,1.08e-06
1234,OR1F1,-2.517947521,1.08e-06
1235,LOC105370362,-2.57761807,1.09e-06
1236,LINC00567,-2.57761807,1.09e-06
1241,ZNF663P,-2.69083746,1.11e-06
1242,CNTN5,2.383630734,1.12e-06
1245,MMP16,2.359272266,1.13e-06
1246,LOC101927539,-2.650923619,1.13e-06
1247,KRTAP12-3,-2.988141133,1.15e-06
1248,MGAT4C,2.436316224,1.16e-06
1256,RAP2C,2.37317661,1.17e-06
1257,DANT1,-2.501657862,1.18e-06
1260,PCDHA8,-3.500424389,1.18e-06
1261,RUFY3,2.444050644,1.19e-06
1264,GSG1L,-2.877481201,1.2e-06
1265,DOK6,2.360902719,1.21e-06
1266,LINC02098,-2.714211143,1.21e-06
1267,GJB5,-2.676908077,1.21e-06
1268,1-Mar,2.362727976,1.21e-06
1269,TFR2,-2.632053989,1.23e-06
1270,LZTS1-AS1,-2.609950585,1.24e-06
1271,MIR1272,-2.766384057,1.24e-06
1273,DCLK1,-2.429644901,1.26e-06
1274,SNORA87,-2.820402221,1.27e-06
1275,PROCR,-2.617012204,1.27e-06
1276,NR1H3,-2.520507379,1.28e-06
1278,EDA2R,2.391423994,1.3e-06
1282,DGKH,2.361215157,1.31e-06
1283,M6PR,2.360380474,1.31e-06
1287,ZNF37BP,2.396928518,1.32e-06
1288,CUZD1,-2.681936337,1.33e-06
1290,GUSBP1,2.413537249,1.33e-06
1293,RNF138P1,2.352287288,1.34e-06
1294,UFM1,2.349830126,1.34e-06
1301,CHPT1,2.354651988,1.35e-06
1302,LOC101929551,-2.562115664,1.35e-06
1303,PLPP1,2.350630026,1.36e-06
1305,HLA-DMA,-2.527296622,1.37e-06
1306,PPFIBP1,2.33867739,1.37e-06
1310,NIPA2,2.394525956,1.38e-06
1316,NAA16,2.376039738,1.4e-06
1319,RIMS1,2.34568228,1.41e-06
1324,IDI2-AS1,-2.700145958,1.43e-06
1334,LINC02365,-2.769985221,1.44e-06
1337,SOAT1,2.347232702,1.45e-06
1339,VMA21,2.388228434,1.46e-06
1341,ODF4,-2.773394521,1.47e-06
1351,ADARB2-AS1,-2.635754121,1.47e-06
1352,TRIM38,-2.604844973,1.47e-06
1353,P2RY6,-2.604844973,1.47e-06
1355,KLRG1,2.347521108,1.49e-06
1360,RHCG,-2.546793805,1.51e-06
1363,ATP8B5P,-2.481981297,1.52e-06
1365,LCK,-2.481981297,1.52e-06
1368,ERN2,-2.675282812,1.53e-06
1370,ZMYM5,2.361885029,1.53e-06
1373,AMIGO2,2.376706736,1.54e-06
1376,MCCD1,-2.64863923,1.55e-06
1377,IL32,-2.64863923,1.55e-06
1378,ITGA2B,-2.857140435,1.56e-06
1379,LRRC25,-2.644494255,1.57e-06
1380,CORO2B,-2.587412844,1.59e-06
1381,LOC100128770,-2.551401157,1.59e-06
1382,SLC5A5,-2.548980523,1.6e-06
1383,DCDC2C,-2.536950915,1.6e-06
1384,MIR4766,-3.042984725,1.62e-06
1385,ELF3-AS1,-2.396268003,1.65e-06
1386,CMKLR1,-2.689835664,1.65e-06
1387,PTAFR,-2.689835664,1.65e-06
1389,BAG2,2.343284531,1.67e-06
1390,MIR605,2.458951766,1.67e-06
1391,AMPH,2.330500073,1.68e-06
1392,C3orf62,-2.654474661,1.69e-06
1394,LOC100506281,-2.462852073,1.72e-06
1396,SILC1,-2.778512251,1.75e-06
1398,SEPTIN9,-2.537512136,1.78e-06
1399,PCED1B,2.359800524,1.79e-06
1401,LTBR,-2.550817536,1.8e-06
1402,KLHL42,2.325727017,1.8e-06
1403,RASSF8-AS1,2.32852616,1.81e-06
1404,TCEAL2,2.406311056,1.81e-06
1405,UNC93A,-2.759511809,1.81e-06
1407,CBLC,-2.566905276,1.81e-06
1409,ERGIC2,2.325162809,1.82e-06
1410,AMZ1,-2.604915321,1.83e-06
1424,USHBP1,-2.671597405,1.83e-06
1428,LOC101928523,2.468726,1.87e-06
1431,SYNE1-AS1,2.358416219,1.9e-06
1432,KHDRBS3,2.318215995,1.9e-06
1433,RAB37,-2.424828624,1.91e-06
1435,NLRP12,-2.878533699,1.92e-06
1438,LOC645752,-3.485496923,1.93e-06
1439,IFNGR1,2.326318836,1.93e-06
1441,COMMD8,2.314205427,1.94e-06
1442,PCGF5,2.322485079,1.94e-06
